player_name,events,bb_type,launch_speed,launch_angle
"De La Cruz, Elly",home_run,fly_ball,119.2,28
"Olson, Matt",home_run,fly_ball,118.6,22
"Burger, Jake",home_run,fly_ball,118.2,21
"Stanton, Giancarlo",home_run,fly_ball,118.1,35
"Stanton, Giancarlo",home_run,fly_ball,117.8,25
"Adell, Jo",home_run,fly_ball,117.2,28
"Ohtani, Shohei",home_run,fly_ball,117.1,22
"Judge, Aaron",home_run,fly_ball,116.9,22
"Ohtani, Shohei",home_run,fly_ball,116.9,22
"Acuña Jr., Ronald",home_run,fly_ball,116.1,24
"Ohtani, Shohei",home_run,fly_ball,116.1,26
"Olson, Matt",home_run,fly_ball,115.9,30
"Harper, Bryce",home_run,fly_ball,115.7,23
"Ohtani, Shohei",home_run,fly_ball,115.4,28
"Ozuna, Marcell",home_run,fly_ball,115.3,21
"Ohtani, Shohei",home_run,fly_ball,115.1,29
"Sánchez, Gary",home_run,fly_ball,115.1,28
"Acuña Jr., Ronald",home_run,fly_ball,115.1,21
"Alvarez, Yordan",home_run,fly_ball,115,24
"Devers, Rafael",home_run,fly_ball,115,24
"Judge, Aaron",home_run,fly_ball,114.9,27
"De La Cruz, Elly",home_run,fly_ball,114.8,35
"Acuña Jr., Ronald",home_run,fly_ball,114.8,28
"Hilliard, Sam",home_run,fly_ball,114.8,21
"Suwinski, Jack",home_run,fly_ball,114.7,30
"Wisdom, Patrick",home_run,fly_ball,114.6,23
"Alonso, Pete",home_run,fly_ball,114.6,24
"Ohtani, Shohei",home_run,fly_ball,114.6,27
"Acuña Jr., Ronald",home_run,fly_ball,114.5,29
"Wallner, Matt",home_run,fly_ball,114.5,36
"Acuña Jr., Ronald",home_run,fly_ball,114.5,27
"Seager, Corey",home_run,fly_ball,114.4,28
"Schwarber, Kyle",home_run,fly_ball,114.3,26
"Ohtani, Shohei",home_run,fly_ball,114.3,39
"Taylor, Michael A.",home_run,fly_ball,114.3,28
"Jones, Nolan",double,fly_ball,114.3,14
"Walker, Christian",home_run,fly_ball,114.3,27
"Jones, Nolan",home_run,fly_ball,114.2,26
"Correa, Carlos",home_run,fly_ball,114.2,22
"Acuña Jr., Ronald",home_run,fly_ball,114.1,28
"Devers, Rafael",home_run,fly_ball,114.1,27
"Soto, Juan",home_run,fly_ball,114.1,25
"Stanton, Giancarlo",home_run,fly_ball,114.1,29
"Ohtani, Shohei",home_run,fly_ball,114.1,25
"Suwinski, Jack",home_run,fly_ball,114,31
"Soler, Jorge",home_run,fly_ball,114,23
"Acuña Jr., Ronald",home_run,fly_ball,113.9,27
"Schwarber, Kyle",home_run,fly_ball,113.9,23
"Soler, Jorge",home_run,fly_ball,113.9,28
"Schwarber, Kyle",home_run,fly_ball,113.9,32
"Judge, Aaron",home_run,fly_ball,113.8,26
"Murphy, Sean",home_run,fly_ball,113.8,21
"Henderson, Gunnar",home_run,fly_ball,113.8,27
"Riley, Austin",home_run,fly_ball,113.8,22
"Stanton, Giancarlo",home_run,fly_ball,113.7,22
"De La Cruz, Elly",home_run,fly_ball,113.7,26
"Raleigh, Cal",home_run,fly_ball,113.7,25
"Murphy, Sean",home_run,fly_ball,113.7,24
"Wallner, Matt",home_run,fly_ball,113.7,30
"Contreras, Willson",home_run,fly_ball,113.6,33
"Morel, Christopher",home_run,fly_ball,113.6,26
"Alonso, Pete",home_run,fly_ball,113.5,25
"Alvarez, Yordan",home_run,fly_ball,113.5,40
"Contreras, William",home_run,fly_ball,113.5,27
"Judge, Aaron",home_run,fly_ball,113.5,25
"Yelich, Christian",home_run,fly_ball,113.5,31
"Tatis Jr., Fernando",home_run,fly_ball,113.4,25
"Schwarber, Kyle",home_run,fly_ball,113.4,27
"Langeliers, Shea",home_run,fly_ball,113.4,24
"Alonso, Pete",home_run,fly_ball,113.4,26
"Soto, Juan",home_run,fly_ball,113.3,18
"Lowe, Josh",home_run,fly_ball,113.3,23
"Riley, Austin",home_run,fly_ball,113.3,28
"Melendez, MJ",home_run,fly_ball,113.2,23
"Alonso, Pete",home_run,fly_ball,113.2,24
"Mountcastle, Ryan",home_run,fly_ball,113.1,26
"Soto, Juan",home_run,fly_ball,113.1,24
"Baty, Brett",home_run,fly_ball,113.1,25
"Bauers, Jake",home_run,fly_ball,113.1,33
"Judge, Aaron",home_run,fly_ball,113.1,31
"Harper, Bryce",home_run,fly_ball,113,24
"Marte, Ketel",home_run,fly_ball,113,23
"Bichette, Bo",home_run,fly_ball,113,24
"Wallner, Matt",home_run,fly_ball,113,27
"Ohtani, Shohei",home_run,fly_ball,113,36
"De La Cruz, Elly",home_run,fly_ball,113,21
"Buxton, Byron",home_run,fly_ball,112.9,29
"Ohtani, Shohei",home_run,fly_ball,112.9,30
"Judge, Aaron",home_run,fly_ball,112.8,33
"Cabbage, Trey",home_run,fly_ball,112.8,32
"Harper, Bryce",home_run,fly_ball,112.8,23
"Laureano, Ramón",home_run,fly_ball,112.7,26
"Schwarber, Kyle",home_run,fly_ball,112.7,22
"Cordero, Franchy",home_run,fly_ball,112.7,22
"Ozuna, Marcell",home_run,fly_ball,112.7,21
"Judge, Aaron",home_run,fly_ball,112.7,30
"Greene, Riley",home_run,fly_ball,112.6,27
"Acuña Jr., Ronald",home_run,fly_ball,112.6,30
"Raleigh, Cal",home_run,fly_ball,112.6,23
"Soler, Jorge",home_run,fly_ball,112.5,28
"Alonso, Pete",home_run,fly_ball,112.5,23
"Ramírez, Harold",home_run,fly_ball,112.5,24
"Alonso, Pete",home_run,fly_ball,112.5,31
"Perez, Salvador",home_run,fly_ball,112.4,25
"Judge, Aaron",home_run,fly_ball,112.4,22
