player_name,events,bb_type,launch_speed,launch_angle
"Pollock, AJ",field_out,fly_ball,47.8,34
"Garrett, Stone",field_out,fly_ball,52.3,32
"Taveras, Leody",double,fly_ball,52.5,38
"Estrada, Thairo",field_out,fly_ball,52.9,42
"Rojas, Johan",single,fly_ball,55.5,37
"Carroll, Corbin",double,fly_ball,56.4,42
"Ramírez, Harold",single,fly_ball,57.7,38
"Grichuk, Randal",field_out,fly_ball,57.9,51
"Adames, Willy",single,fly_ball,58.3,40
"Burger, Jake",field_out,fly_ball,58.5,51
"McKinstry, Zach",field_out,fly_ball,59.5,40
"Mountcastle, Ryan",double,fly_ball,60,31
"Taylor, Tyrone",single,fly_ball,60.1,45
"Reynolds, Bryan",single,fly_ball,60.1,26
"Edman, Tommy",field_out,fly_ball,60.1,34
"Frelick, Sal",field_out,fly_ball,60.2,38
"Ruiz, Esteury",single,fly_ball,60.4,32
"Paredes, Isaac",field_out,fly_ball,60.4,38
"Wong, Kolten",field_out,fly_ball,60.5,34
"Profar, Jurickson",single,fly_ball,60.6,35
"Schmitt, Casey",field_out,fly_ball,60.6,37
"Semien, Marcus",single,fly_ball,60.6,25
"Bregman, Alex",field_out,fly_ball,60.6,32
"Wiemer, Joey",field_out,fly_ball,60.6,34
"Giménez, Andrés",single,fly_ball,60.6,33
"Perdomo, Geraldo",field_out,fly_ball,60.6,29
"Swanson, Dansby",field_out,fly_ball,60.7,43
"Vázquez, Christian",field_out,fly_ball,60.8,39
"Meneses, Joey",field_out,fly_ball,60.8,30
"Hernández, Enrique",single,fly_ball,60.8,29
"Blanco, Dairon",field_out,fly_ball,60.8,34
"Peraza, Oswald",single,fly_ball,60.8,36
"Perez, Salvador",single,fly_ball,61,29
"Nimmo, Brandon",single,fly_ball,61,36
"Gurriel Jr., Lourdes",field_out,fly_ball,61.1,30
"Ibáñez, Andy",field_out,fly_ball,61.1,37
"Fraley, Jake",single,fly_ball,61.2,34
"Kwan, Steven",field_out,fly_ball,61.2,30
"Ozuna, Marcell",single,fly_ball,61.2,28
"Bader, Harrison",single,fly_ball,61.2,30
"Friedl, TJ",field_out,fly_ball,61.3,32
"Mullins, Cedric",field_out,fly_ball,61.3,35
"Grichuk, Randal",single,fly_ball,61.3,29
"Varsho, Daulton",single,fly_ball,61.4,31
"Bregman, Alex",field_out,fly_ball,61.4,39
"Urías, Ramón",single,fly_ball,61.5,31
"Calhoun, Kole",single,fly_ball,61.5,38
"Candelario, Jeimer",single,fly_ball,61.6,34
"Crawford, J.P.",single,fly_ball,61.6,26
"Canha, Mark",field_out,fly_ball,61.6,42
"Hernández, Enrique",single,fly_ball,61.7,30
"Ford, Mike",single,fly_ball,61.7,47
"Rojas, Josh",double,fly_ball,61.8,40
"Cronenworth, Jake",single,fly_ball,61.8,41
"Ozuna, Marcell",single,fly_ball,61.8,39
"Arozarena, Randy",field_out,fly_ball,61.8,38
"Varsho, Daulton",field_out,fly_ball,61.8,31
"Bregman, Alex",field_out,fly_ball,61.9,30
"Verdugo, Alex",field_out,fly_ball,61.9,33
"Lindor, Francisco",single,fly_ball,61.9,32
"Hays, Austin",single,fly_ball,61.9,28
"Dubón, Mauricio",field_out,fly_ball,61.9,44
