player_name,events,bb_type,launch_speed,launch_angle
"Madrigal, Nick",single,ground_ball,87,4
"Marte, Starling",field_out,ground_ball,87,-36
"Profar, Jurickson",field_out,ground_ball,87,8
"Witt Jr., Bobby",field_out,ground_ball,87,-27
"Carlson, Dylan",field_out,ground_ball,87,-16
"Jankowski, Travis",field_out,ground_ball,87,-11
"Wade Jr., LaMonte",field_out,ground_ball,87,-26
"Rengifo, Luis",field_out,ground_ball,87,-9
"Peguero, Liover",single,ground_ball,87,3
"Hernández, Enrique",force_out,ground_ball,87,-7
"Julien, Edouard",field_out,ground_ball,87,-4
"Adams, Riley",field_out,ground_ball,87,-17
"Ruiz, Keibert",field_out,ground_ball,87,-16
"Suárez, Eugenio",field_out,ground_ball,87,-28
"Bell, Josh",single,ground_ball,87,0
"Volpe, Anthony",field_out,ground_ball,87,-7
"Nimmo, Brandon",single,ground_ball,87,-3
"Westburg, Jordan",field_out,ground_ball,87,-10
"Ozuna, Marcell",field_out,ground_ball,87,-3
"Verdugo, Alex",field_out,ground_ball,87,-34
"Meneses, Joey",single,ground_ball,87,-63
"Arenado, Nolan",field_out,ground_ball,87,-15
"Albies, Ozzie",single,ground_ball,87,10
"Meadows, Parker",field_out,ground_ball,87,1
"Kelly, Carson",field_out,ground_ball,87,-34
"Giménez, Andrés",grounded_into_double_play,ground_ball,87,1
"Walker, Christian",single,ground_ball,87,-35
"Torres, Gleyber",single,ground_ball,87,3
"Stott, Bryson",single,ground_ball,87,6
"Cruz, Nelson",field_out,ground_ball,87,-5
"Ozuna, Marcell",field_out,ground_ball,87,-9
"Betts, Mookie",single,ground_ball,87,5
"Brennan, Will",field_out,ground_ball,87,-12
"Freeman, Freddie",field_out,ground_ball,87,-35
"Stephenson, Tyler",field_out,ground_ball,87,-10
"Berti, Jon",field_out,ground_ball,87,3
"Luplow, Jordan",field_out,ground_ball,87,-11
"Diaz, Yainer",force_out,ground_ball,87,-24
"Naylor, Josh",grounded_into_double_play,ground_ball,87,-24
"Alvarez, Yordan",single,ground_ball,87,-34
"Duffy, Matt",field_out,ground_ball,87,-1
"Lopez, Nicky",single,ground_ball,87,3
"Stephenson, Tyler",grounded_into_double_play,ground_ball,87,-7
"Tatis Jr., Fernando",field_out,ground_ball,87,-57
"Aranda, Jonathan",field_out,ground_ball,87,-29
"Winker, Jesse",force_out,ground_ball,87,-11
"Bleday, JJ",grounded_into_double_play,ground_ball,87,-12
"McCormick, Chas",field_out,ground_ball,87,5
"Muncy, Max",field_out,ground_ball,87,-7
"Tatis Jr., Fernando",field_out,ground_ball,87,5
"Crawford, Brandon",field_out,ground_ball,87,-8
"Hays, Austin",force_out,ground_ball,87,-1
"Bogaerts, Xander",double,ground_ball,87,-4
"Taveras, Leody",field_out,ground_ball,87,5
"Steer, Spencer",force_out,ground_ball,87,-18
"Ohtani, Shohei",single,ground_ball,87,5
"Estrada, Thairo",field_out,ground_ball,87,6
"Guerrero Jr., Vladimir",force_out,ground_ball,87,-4
"Abreu, José",field_out,ground_ball,87,-7
"Ohtani, Shohei",single,ground_ball,87,-6
"Montero, Elehuris",field_out,ground_ball,87,-20
"Hays, Austin",single,ground_ball,87,-4
"Calhoun, Kole",field_error,ground_ball,87,-15
"Stephenson, Tyler",field_out,ground_ball,87,3
"Kirk, Alejandro",field_out,ground_ball,87,-32
"Taveras, Leody",field_out,ground_ball,87,-39
"Rivera, Emmanuel",field_out,ground_ball,87,-24
"Haggerty, Sam",field_out,ground_ball,87,-2
"Alonso, Pete",field_out,ground_ball,87,-7
"Naylor, Bo",field_out,ground_ball,87,-25
"Acuña Jr., Ronald",single,ground_ball,87,-11
"Drury, Brandon",double,ground_ball,87,-8
