player_name,events,bb_type,launch_speed,launch_angle
"Call, Alex",sac_bunt,ground_ball,8.6,65
"Peña, Jeremy",field_out,ground_ball,8.7,20
"Call, Alex",sac_bunt,ground_ball,8.9,-60
"Thompson, Bubba",sac_bunt,ground_ball,9.6,30
"Cave, Jake",sac_bunt,ground_ball,9.8,-16
"Rutschman, Adley",field_out,ground_ball,9.8,61
"Nimmo, Brandon",field_out,ground_ball,9.9,71
"Springer, George",field_out,ground_ball,10.5,55
"Peña, Jeremy",sac_bunt,ground_ball,11.3,44
"Farmer, Kyle",field_out,ground_ball,12.4,-77
"Castro, Harold",field_out,ground_ball,12.6,51
"Burleson, Alec",field_out,ground_ball,12.8,65
"Azocar, José",sac_bunt,ground_ball,13.2,44
"Velazquez, Andrew",force_out,ground_ball,14,-73
"Cron, C.J.",field_out,ground_ball,14,30
"Andrus, Elvis",field_out,ground_ball,14.2,22
"Maldonado, Martín",sac_bunt,ground_ball,14.4,32
"Neto, Zach",sac_bunt,ground_ball,14.7,29
"Ruiz, Esteury",single,ground_ball,14.7,-46
"Delay, Jason",single,ground_ball,14.7,
"Call, Alex",single,ground_ball,15,25
"Marsh, Brandon",single,ground_ball,15.1,6
"Albies, Ozzie",single,ground_ball,15.3,45
"Walls, Taylor",single,ground_ball,15.5,-24
"Hedges, Austin",sac_bunt,ground_ball,15.6,55
"Delay, Jason",sac_bunt,ground_ball,15.6,14
"Freeman, Freddie",field_out,ground_ball,15.6,20
"Suwinski, Jack",field_out,ground_ball,15.7,-2
"McCann, James",sac_bunt,ground_ball,15.7,34
"Brown, Seth",sac_bunt,ground_ball,15.8,57
"Allen, Nick",single,ground_ball,16.1,18
"Perdomo, Geraldo",single,ground_ball,16.1,-4
"Maldonado, Martín",sac_bunt,ground_ball,16.2,-23
"Sosa, Lenyn",sac_bunt,ground_ball,16.6,40
"Friedl, TJ",single,ground_ball,16.9,-8
"Allen, Nick",sac_bunt,ground_ball,17,-7
"Doyle, Brenton",single,ground_ball,17,-35
"Thomas, Alek",force_out,ground_ball,17.1,-77
"Wallach, Chad",sac_bunt,ground_ball,17.1,-14
"Ruiz, Esteury",sac_bunt,ground_ball,17.2,62
"McKinstry, Zach",sac_bunt,ground_ball,17.3,-58
"Carroll, Corbin",force_out,ground_ball,17.3,65
"Blanco, Dairon",single,ground_ball,17.5,-54
