player_name,events,bb_type,launch_speed,launch_angle
"Acuña Jr., Ronald",home_run,line_drive,121.2,19
"Stanton, Giancarlo",field_out,line_drive,119.5,2
"Ohtani, Shohei",double,line_drive,118.6,13
"Ohtani, Shohei",double,line_drive,118.3,18
"Stanton, Giancarlo",double,line_drive,117.9,7
"Acuña Jr., Ronald",field_out,line_drive,117.9,15
"Alvarez, Yordan",home_run,line_drive,117.7,25
"Jeffers, Ryan",home_run,line_drive,117.4,20
"Mauricio, Ronny",double,line_drive,117.3,14
"Stanton, Giancarlo",double,line_drive,117.1,13
"Marte, Ketel",double,line_drive,117.1,13
"Buxton, Byron",double,line_drive,116.9,16
"Stanton, Giancarlo",home_run,line_drive,116.8,18
"Guerrero Jr., Vladimir",double,line_drive,116.7,10
"Burger, Jake",double,line_drive,116.7,12
"Ohtani, Shohei",home_run,line_drive,116.7,19
"Stanton, Giancarlo",home_run,line_drive,116.7,20
"Pederson, Joc",single,line_drive,116.6,10
"De La Cruz, Elly",double,line_drive,116.6,16
"Burger, Jake",double,line_drive,116.5,16
"Wallner, Matt",double,line_drive,116.4,14
"Acuña Jr., Ronald",home_run,line_drive,116.3,20
"Stanton, Giancarlo",double,line_drive,116.3,17
"Stanton, Giancarlo",home_run,line_drive,116.3,18
"Alvarez, Yordan",home_run,line_drive,116.2,16
"Guerrero Jr., Vladimir",single,line_drive,116.2,9
"Riley, Austin",double,line_drive,116.1,16
"Alvarez, Yordan",home_run,line_drive,116,19
"Acuña Jr., Ronald",field_out,line_drive,115.9,12
"Springer, George",home_run,line_drive,115.9,17
"Stanton, Giancarlo",home_run,line_drive,115.8,20
"Burger, Jake",single,line_drive,115.8,10
"Jeffers, Ryan",home_run,line_drive,115.8,20
"Judge, Aaron",single,line_drive,115.7,16
"Ohtani, Shohei",home_run,line_drive,115.7,20
"Alonso, Pete",home_run,line_drive,115.7,17
"Marte, Noelvi",field_out,line_drive,115.6,7
"Guerrero Jr., Vladimir",double,line_drive,115.6,14
"Alonso, Pete",home_run,line_drive,115.6,18
"Rodríguez, Julio",field_out,line_drive,115.5,7
"Ohtani, Shohei",double,line_drive,115.5,16
"Judge, Aaron",single,line_drive,115.5,8
"Ohtani, Shohei",double,line_drive,115.4,19
"De La Cruz, Elly",double,line_drive,115.4,8
"Jones, Nolan",home_run,line_drive,115.3,20
"Acuña Jr., Ronald",home_run,line_drive,115.3,16
"Guerrero Jr., Vladimir",field_out,line_drive,115.2,13
"Duran, Ezequiel",home_run,line_drive,115.2,19
"Schwarber, Kyle",field_out,line_drive,115.2,16
"Judge, Aaron",double,line_drive,115.2,13
"Contreras, Willson",double,line_drive,115.1,9
"Buxton, Byron",double,line_drive,115.1,5
"Guerrero Jr., Vladimir",field_out,line_drive,115.1,11
"Judge, Aaron",single,line_drive,115.1,17
"Alonso, Pete",double,line_drive,115,10
"Sánchez, Gary",field_out,line_drive,115,18
"Pederson, Joc",field_out,line_drive,115,14
"Guerrero Jr., Vladimir",field_out,line_drive,115,10
"Vientos, Mark",single,line_drive,114.9,11
"Motter, Taylor",double,line_drive,114.8,13
"Soler, Jorge",home_run,line_drive,114.8,25
"Guerrero Jr., Vladimir",single,line_drive,114.8,17
"Sánchez, Jesús",field_out,line_drive,114.8,18
"Murphy, Sean",single,line_drive,114.7,8
"Contreras, Willson",home_run,line_drive,114.7,18
"Wallner, Matt",single,line_drive,114.6,9
"Suzuki, Seiya",single,line_drive,114.6,8
"Acuña Jr., Ronald",field_out,line_drive,114.6,13
"Judge, Aaron",single,line_drive,114.6,20
"Murphy, Sean",home_run,line_drive,114.6,20
"Mountcastle, Ryan",single,line_drive,114.6,9
"Cron, C.J.",double,line_drive,114.5,14
"Díaz, Yandy",home_run,line_drive,114.5,16
"Alvarez, Yordan",double,line_drive,114.5,13
"Machado, Manny",single,line_drive,114.5,11
"Schwarber, Kyle",double,line_drive,114.4,13
"Acuña Jr., Ronald",single,line_drive,114.4,11
"Contreras, Willson",double,line_drive,114.4,16
"Greene, Riley",single,line_drive,114.4,10
"Suwinski, Jack",double,line_drive,114.4,18
"Seager, Corey",home_run,line_drive,114.4,19
"Arias, Gabriel",field_out,line_drive,114.4,16
"Soto, Juan",single,line_drive,114.3,9
"Trout, Mike",double,line_drive,114.3,14
"Arozarena, Randy",single,line_drive,114.3,14
"Chapman, Matt",home_run,line_drive,114.3,19
"Buxton, Byron",home_run,line_drive,114.3,18
"Raley, Luke",home_run,line_drive,114.3,19
"Acuña Jr., Ronald",home_run,line_drive,114.2,21
"Colás, Oscar",field_out,line_drive,114.2,13
"Castro, Willi",double,line_drive,114.2,15
"Schwarber, Kyle",home_run,line_drive,114.1,20
"Alvarez, Yordan",field_out,line_drive,114.1,14
"Alvarez, Francisco",single,line_drive,114.1,16
"Burger, Jake",single,line_drive,114.1,13
"Guerrero Jr., Vladimir",single,line_drive,114.1,11
"Soler, Jorge",field_out,line_drive,114.1,13
"Ozuna, Marcell",single,line_drive,114.1,11
"Lewis, Royce",home_run,line_drive,114,17
"Arozarena, Randy",field_out,line_drive,114,15
"Ohtani, Shohei",single,line_drive,114,12
"Segura, Jean",field_out,line_drive,114,7
"Bell, Josh",double,line_drive,114,11
"Correa, Carlos",single,line_drive,113.9,15
"Harris II, Michael",field_out,line_drive,113.9,17
"Noda, Ryan",triple,line_drive,113.9,20
"Acuña Jr., Ronald",double,line_drive,113.9,15
"Contreras, William",double,line_drive,113.9,17
"Contreras, Willson",field_out,line_drive,113.9,7
"Carroll, Corbin",double,line_drive,113.8,17
"Witt Jr., Bobby",triple,line_drive,113.8,11
"Alonso, Pete",home_run,line_drive,113.7,21
"Jones, Nolan",double,line_drive,113.7,20
"Harper, Bryce",single,line_drive,113.7,14
"Devers, Rafael",double,line_drive,113.7,15
"Alvarez, Yordan",single,line_drive,113.7,7
"Pham, Tommy",single,line_drive,113.7,12
"Contreras, Willson",double,line_drive,113.7,13
"Judge, Aaron",home_run,line_drive,113.7,20
"Contreras, Willson",field_out,line_drive,113.7,15
"Siri, Jose",home_run,line_drive,113.7,19
"Marte, Ketel",double,line_drive,113.7,13
"Ohtani, Shohei",triple,line_drive,113.7,10
"Cordero, Franchy",single,line_drive,113.7,7
"Acuña Jr., Ronald",home_run,line_drive,113.7,20
"Seager, Corey",double,line_drive,113.6,16
"Robert Jr., Luis",home_run,line_drive,113.6,21
"Seager, Corey",single,line_drive,113.6,19
"Robert Jr., Luis",field_out,line_drive,113.6,15
"Arozarena, Randy",single,line_drive,113.6,13
"Wong, Connor",double,line_drive,113.6,20
"Jiménez, Eloy",double,line_drive,113.5,14
"Marte, Ketel",double,line_drive,113.5,10
"Bauers, Jake",field_out,line_drive,113.5,18
"Judge, Aaron",double,line_drive,113.5,12
"Soto, Juan",double,line_drive,113.5,7
"Schwarber, Kyle",single,line_drive,113.5,10
"Burger, Jake",home_run,line_drive,113.5,21
"Alonso, Pete",single,line_drive,113.5,10
"Ozuna, Marcell",single,line_drive,113.5,12
"Riley, Austin",field_out,line_drive,113.5,13
"Robert Jr., Luis",double,line_drive,113.4,14
"Reyes, Franmil",single,line_drive,113.4,13
"Schwarber, Kyle",double,line_drive,113.4,15
"Sánchez, Jesús",field_out,line_drive,113.4,16
"Soto, Juan",double,line_drive,113.4,18
"Rodríguez, Julio",single,line_drive,113.4,9
"Langeliers, Shea",double,line_drive,113.3,16
"Seager, Corey",double,line_drive,113.3,18
"Wallner, Matt",single,line_drive,113.3,19
"Acuña Jr., Ronald",double,line_drive,113.3,11
"Raleigh, Cal",single,line_drive,113.3,17
"Wallner, Matt",double,line_drive,113.3,14
"Burger, Jake",single,line_drive,113.3,10
"Brown, Seth",single,line_drive,113.3,12
"Jones, Nolan",double,line_drive,113.3,14
"Ohtani, Shohei",single,line_drive,113.3,9
"Abreu, José",home_run,line_drive,113.3,19
"Burger, Jake",double,line_drive,113.2,15
"Jones, Nolan",double,line_drive,113.2,20
"Machado, Manny",double,line_drive,113.2,8
"Suzuki, Seiya",single,line_drive,113.2,11
"Wallner, Matt",double,line_drive,113.2,18
"Garver, Mitch",double,line_drive,113.2,20
"Stanton, Giancarlo",single,line_drive,113.2,9
"Díaz, Yandy",single,line_drive,113.2,7
"Murphy, Sean",double,line_drive,113.2,11
"Murphy, Sean",field_out,line_drive,113.2,17
"Alvarez, Yordan",home_run,line_drive,113.2,18
"McMahon, Ryan",double,line_drive,113.2,10
"Casas, Triston",single,line_drive,113.2,10
"Chapman, Matt",double,line_drive,113.2,13
