player_name,events,bb_type,launch_speed,launch_angle
"Sosa, Edmundo",sac_bunt,line_drive,22,16
"Happ, Ian",double_play,line_drive,26.6,29
"Owings, Chris",double_play,line_drive,27.2,29
"Wisdom, Patrick",field_out,line_drive,27.7,35
"Hernández, Yonny",field_out,line_drive,28.9,30
"Giménez, Andrés",field_out,line_drive,29.5,33
"Rojas, Johan",field_out,line_drive,29.7,33
"Straw, Myles",field_out,line_drive,30.2,27
"Perdomo, Geraldo",double_play,line_drive,31,29
"Margot, Manuel",field_out,line_drive,31.2,35
"Bellinger, Cody",field_out,line_drive,31.3,24
"Walsh, Jared",field_out,line_drive,32.3,37
"Grisham, Trent",field_out,line_drive,33.4,27
"Senzel, Nick",single,line_drive,34.2,26
"Doyle, Brenton",field_out,line_drive,39.8,36
"Díaz, Yandy",field_out,line_drive,40,21
"Waters, Drew",field_out,line_drive,40.6,39
"Jeffers, Ryan",field_out,line_drive,41.7,35
"Friedl, TJ",field_out,line_drive,43.3,27
"Burger, Jake",field_out,line_drive,43.4,24
"Adams, Riley",field_out,line_drive,43.5,25
"Ramírez, José",field_out,line_drive,44.4,33
"Correa, Carlos",field_out,line_drive,44.7,31
"Vargas, Ildemaro",field_out,line_drive,45.1,23
"Merrifield, Whit",field_out,line_drive,45.3,14
"Díaz, Aledmys",field_out,line_drive,45.5,32
"Massey, Michael",field_out,line_drive,45.7,27
"Harris II, Michael",field_out,line_drive,45.9,33
"Davis, Jonathan",field_out,line_drive,46.3,38
"Grisham, Trent",field_out,line_drive,47,33
"Bryant, Kris",field_out,line_drive,47.1,30
"Fraley, Jake",field_out,line_drive,47.1,36
"Hampson, Garrett",field_out,line_drive,47.3,37
"Chavis, Michael",field_out,line_drive,47.3,23
"Waters, Drew",field_out,line_drive,48,30
"Laureano, Ramón",field_out,line_drive,48,30
"France, Ty",field_out,line_drive,48.5,24
"Smith, Josh H.",field_out,line_drive,48.7,29
"Bohm, Alec",field_out,line_drive,48.7,30
"McCormick, Chas",field_out,line_drive,48.7,34
"Yastrzemski, Mike",field_out,line_drive,49,30
"Anderson, Tim",field_out,line_drive,49.1,27
"Palacios, Joshua",field_out,line_drive,49.2,40
"Walker, Jordan",single,line_drive,49.3,10
"Davis, J.D.",field_out,line_drive,49.6,35
"Julks, Corey",field_out,line_drive,49.6,26
"Díaz, Elias",field_out,line_drive,49.6,27
"McCormick, Chas",field_out,line_drive,49.7,32
"Maldonado, Martín",field_out,line_drive,49.7,15
"Hoerner, Nico",field_out,line_drive,49.7,29
"Wade Jr., LaMonte",field_out,line_drive,49.8,36
"Díaz, Yandy",field_out,line_drive,49.9,28
"Davis, J.D.",field_out,line_drive,50.2,30
"Springer, George",field_out,line_drive,50.5,35
"Noda, Ryan",field_out,line_drive,50.5,34
"Verdugo, Alex",field_out,line_drive,50.5,37
"Sánchez, Jesús",field_out,line_drive,50.7,37
"Suwinski, Jack",field_out,line_drive,50.8,27
"Vargas, Ildemaro",field_out,line_drive,50.8,29
"McKinstry, Zach",field_out,line_drive,50.8,28
"Giménez, Andrés",field_out,line_drive,50.9,38
"Ramírez, José",double_play,line_drive,50.9,31
"Suzuki, Seiya",field_out,line_drive,51,34
"Burger, Jake",field_out,line_drive,51.1,27
"Perez, Salvador",force_out,line_drive,51.5,36
"De La Cruz, Elly",field_out,line_drive,51.6,28
"Burleson, Alec",force_out,line_drive,51.7,19
"Henderson, Gunnar",field_out,line_drive,51.7,38
"Díaz, Elias",field_out,line_drive,51.8,39
"Wisely, Brett",field_out,line_drive,51.8,24
"Díaz, Aledmys",single,line_drive,51.8,30
"Peña, Jeremy",field_out,line_drive,51.9,26
"Heim, Jonah",field_out,line_drive,52,33
"Andrus, Elvis",field_out,line_drive,52,24
"Witt Jr., Bobby",field_out,line_drive,52.1,30
"Wiemer, Joey",field_out,line_drive,52.2,39
"Gonzalez, Oscar",field_out,line_drive,52.3,25
"McKinstry, Zach",field_out,line_drive,52.3,28
"Refsnyder, Rob",field_out,line_drive,52.3,18
"Taylor, Michael A.",field_out,line_drive,52.3,28
"Correa, Carlos",field_out,line_drive,52.4,23
"Peraza, Oswald",field_out,line_drive,52.4,29
"Heineman, Tyler",field_out,line_drive,52.5,33
"Chavis, Michael",single,line_drive,52.5,23
"Profar, Jurickson",field_out,line_drive,52.5,23
"Cronenworth, Jake",field_out,line_drive,52.6,33
"Espinal, Santiago",field_out,line_drive,52.6,25
"Smith, Josh H.",field_out,line_drive,52.6,28
"Hernández, Enrique",single,line_drive,52.7,17
"Rendon, Anthony",field_out,line_drive,52.9,26
"Perez, Salvador",single,line_drive,52.9,31
"Polanco, Jorge",single,line_drive,53,18
"Sosa, Edmundo",field_out,line_drive,53.1,27
"Perdomo, Geraldo",double,line_drive,53.1,31
"Meadows, Parker",field_out,line_drive,53.1,34
"Pasquantino, Vinnie",field_out,line_drive,53.1,27
"Votto, Joey",field_out,line_drive,53.2,39
"McNeil, Jeff",field_out,line_drive,53.3,22
"Yoshida, Masataka",field_out,line_drive,53.3,17
"Candelario, Jeimer",double_play,line_drive,53.3,26
"Moreno, Gabriel",field_out,line_drive,53.5,33
"Palacios, Joshua",field_out,line_drive,53.5,25
"Tellez, Rowdy",single,line_drive,53.5,31
"Altuve, Jose",field_out,line_drive,53.5,29
"Meneses, Joey",field_out,line_drive,53.7,33
"Vierling, Matt",field_out,line_drive,53.7,7
"Lowe, Josh",field_out,line_drive,53.7,29
"France, Ty",field_out,line_drive,53.8,27
"Senzel, Nick",field_out,line_drive,53.8,29
"LeMahieu, DJ",field_out,line_drive,53.9,20
"Rafaela, Ceddanne",field_out,line_drive,53.9,9
"Kirk, Alejandro",field_out,line_drive,54,38
"Brosseau, Mike",field_out,line_drive,54.1,33
"Walsh, Jared",field_out,line_drive,54.1,34
"Bogaerts, Xander",field_out,line_drive,54.1,34
"Machado, Manny",field_out,line_drive,54.1,25
"Rafaela, Ceddanne",field_out,line_drive,54.2,25
"Farmer, Kyle",single,line_drive,54.3,33
"Kiner-Falefa, Isiah",field_out,line_drive,54.3,28
"Caballero, José",field_out,line_drive,54.3,35
"Thomas, Alek",field_out,line_drive,54.3,22
"Altuve, Jose",field_out,line_drive,54.3,34
"Friedl, TJ",field_out,line_drive,54.3,17
"Fermin, Freddy",field_out,line_drive,54.4,25
"Heyward, Jason",field_out,line_drive,54.4,25
"Trout, Mike",field_out,line_drive,54.5,28
"Walker, Christian",field_out,line_drive,54.5,17
"Newman, Kevin",field_out,line_drive,54.6,37
"Flores, Wilmer",double_play,line_drive,54.6,17
"Thomas, Lane",field_out,line_drive,54.6,35
"Tovar, Ezequiel",field_out,line_drive,54.7,26
"Perdomo, Geraldo",field_out,line_drive,54.7,14
"Calhoun, Kole",field_out,line_drive,54.7,40
"Siri, Jose",field_out,line_drive,54.8,23
"Robert Jr., Luis",field_out,line_drive,54.9,29
"Walker, Christian",field_out,line_drive,54.9,28
"Walker, Christian",field_out,line_drive,54.9,22
"Peraza, Oswald",field_out,line_drive,55,34
"Pasquantino, Vinnie",field_out,line_drive,55.1,27
"Betts, Mookie",single,line_drive,55.1,26
"Gallagher, Cam",field_out,line_drive,55.2,23
"Candelario, Jeimer",single,line_drive,55.2,26
"Madrigal, Nick",field_out,line_drive,55.2,25
"Escobar, Eduardo",field_out,line_drive,55.2,38
"Siri, Jose",field_out,line_drive,55.2,40
"Adames, Willy",field_out,line_drive,55.2,34
"Varsho, Daulton",field_out,line_drive,55.2,23
"Davis, J.D.",field_out,line_drive,55.3,39
"Kirilloff, Alex",field_out,line_drive,55.5,38
"Belt, Brandon",single,line_drive,55.5,31
"Bryant, Kris",field_out,line_drive,55.5,32
"Suwinski, Jack",field_out,line_drive,55.6,27
"Mancini, Trey",field_out,line_drive,55.6,33
"Walsh, Jared",double,line_drive,55.6,26
"Duran, Ezequiel",field_out,line_drive,55.6,34
"Duvall, Adam",field_out,line_drive,55.6,23
"McCutchen, Andrew",field_out,line_drive,55.6,23
"Acuña Jr., Ronald",field_out,line_drive,55.7,35
"Smith, Dominic",field_out,line_drive,55.8,35
"Heim, Jonah",field_out,line_drive,55.8,16
"Trevino, Jose",single,line_drive,55.8,31
"Abrams, CJ",field_out,line_drive,55.9,21
"Cave, Jake",field_out,line_drive,55.9,39
"Urías, Luis",field_out,line_drive,55.9,26
"Díaz, Aledmys",single,line_drive,55.9,33
"Nimmo, Brandon",single,line_drive,55.9,19
"Gelof, Zack",field_out,line_drive,56,23
"Adames, Willy",field_out,line_drive,56,27
"Baddoo, Akil",field_out,line_drive,56,39
"Wisely, Brett",field_out,line_drive,56.1,24
"Arraez, Luis",field_out,line_drive,56.1,39
"DeJong, Paul",field_out,line_drive,56.1,22
"Arroyo, Christian",field_out,line_drive,56.1,30
"Burleson, Alec",field_out,line_drive,56.1,31
"Fitzgerald, Tyler",field_out,line_drive,56.2,29
"Tucker, Kyle",field_out,line_drive,56.2,22
"McGuire, Reese",single,line_drive,56.2,23
"Freeman, Freddie",field_out,line_drive,56.2,29
"Solano, Donovan",field_out,line_drive,56.3,30
"McMahon, Ryan",field_out,line_drive,56.3,35
"Giménez, Andrés",field_out,line_drive,56.3,19
"Jankowski, Travis",double,line_drive,56.3,40
"Grichuk, Randal",single,line_drive,56.4,23
"Raleigh, Cal",field_out,line_drive,56.4,25
"Yoshida, Masataka",field_out,line_drive,56.4,24
"Candelario, Jeimer",field_out,line_drive,56.4,24
"Andrus, Elvis",single,line_drive,56.5,23
"De La Cruz, Bryan",field_out,line_drive,56.5,28
"Laureano, Ramón",field_out,line_drive,56.5,14
"Massey, Michael",field_out,line_drive,56.6,19
"Santana, Carlos",single,line_drive,56.6,32
"Outman, James",field_out,line_drive,56.6,29
"McCutchen, Andrew",field_out,line_drive,56.6,23
"Bryant, Kris",single,line_drive,56.6,32
"Walker, Jordan",field_out,line_drive,56.6,33
"Naylor, Bo",field_out,line_drive,56.7,40
"Haggerty, Sam",field_out,line_drive,56.7,9
"Peralta, David",single,line_drive,56.7,33
"Springer, George",field_out,line_drive,56.8,20
"Suzuki, Seiya",double,line_drive,56.8,28
"Varsho, Daulton",field_out,line_drive,56.8,37
"Fraley, Jake",field_out,line_drive,56.8,15
"Naylor, Josh",single,line_drive,56.8,27
"Lindor, Francisco",field_out,line_drive,56.8,24
"Bethancourt, Christian",single,line_drive,56.9,37
"Vázquez, Christian",single,line_drive,56.9,22
"Berti, Jon",field_out,line_drive,56.9,13
"Miller, Owen",field_out,line_drive,56.9,25
"Suwinski, Jack",field_out,line_drive,57,20
"Flores, Wilmer",field_out,line_drive,57,22
"Torkelson, Spencer",field_out,line_drive,57.1,31
"Pillar, Kevin",field_out,line_drive,57.1,24
"India, Jonathan",single,line_drive,57.1,40
"Duran, Jarren",field_out,line_drive,57.1,36
"McCormick, Chas",field_out,line_drive,57.1,37
"Grichuk, Randal",single,line_drive,57.2,24
"Frazier, Adam",single,line_drive,57.2,26
"Martinez, J.D.",field_out,line_drive,57.2,20
"Nimmo, Brandon",single,line_drive,57.3,24
"Julks, Corey",single,line_drive,57.3,24
