player_name,events,bb_type,launch_speed,launch_angle
"Gallo, Joey",field_error,popup,107.3,61
"Gallo, Joey",field_out,popup,106.7,61
"Gallo, Joey",field_out,popup,106.4,69
"Gallo, Joey",field_out,popup,105.1,75
"Buxton, Byron",field_out,popup,105.1,67
"Outman, James",field_out,popup,104.8,62
"Cruz, Oneil",field_out,popup,104.4,61
"Neto, Zach",field_out,popup,104.3,67
"Schwarber, Kyle",field_out,popup,103.8,62
"Vientos, Mark",field_out,popup,103.7,69
"Wallner, Matt",field_out,popup,103.5,70
"Judge, Aaron",field_out,popup,103.3,66
"Gallo, Joey",field_out,popup,103.1,65
"Judge, Aaron",field_out,popup,102.7,69
"Suwinski, Jack",field_out,popup,102.6,64
"Suwinski, Jack",field_out,popup,102.2,62
"Muncy, Max",field_out,popup,102.1,56
"Ramírez, Harold",field_out,popup,102,50
"Carlson, Dylan",field_out,popup,101.9,74
"O'Hearn, Ryan",field_out,popup,101.9,59
"Casas, Triston",field_out,popup,101.8,77
"Ozuna, Marcell",field_out,popup,101.7,68
"Henderson, Gunnar",field_out,popup,101.7,65
"Gallo, Joey",field_out,popup,101.7,60
"McMahon, Ryan",field_out,popup,101.5,66
"Torres, Gleyber",field_out,popup,101.5,65
"Gallo, Joey",field_out,popup,101.5,64
"Gallo, Joey",field_out,popup,101.3,69
"Devers, Rafael",field_out,popup,101.3,61
"Realmuto, J.T.",field_out,popup,101.1,63
"Suwinski, Jack",field_out,popup,101.1,67
"Raley, Luke",field_out,popup,100.9,57
"Rengifo, Luis",field_out,popup,100.9,66
"Schwarber, Kyle",field_out,popup,100.8,63
"Raley, Luke",field_out,popup,100.6,63
"Contreras, Willson",field_out,popup,100.6,63
"Alvarez, Yordan",field_out,popup,100.4,63
"Langeliers, Shea",field_out,popup,100.4,68
"Schwarber, Kyle",field_out,popup,100.4,62
"Alvarez, Yordan",field_out,popup,100.3,66
"Julien, Edouard",field_out,popup,100.3,66
"Wisdom, Patrick",field_out,popup,100.2,64
"Judge, Aaron",field_out,popup,100.1,67
"Alvarez, Yordan",field_out,popup,100.1,63
"Riley, Austin",field_out,popup,99.9,71
"McCormick, Chas",field_out,popup,99.9,66
"Duran, Ezequiel",field_out,popup,99.9,64
"Arozarena, Randy",field_out,popup,99.9,61
"Varsho, Daulton",field_out,popup,99.8,65
"Muncy, Max",field_out,popup,99.8,61
"Outman, James",field_out,popup,99.7,70
"Wong, Connor",field_out,popup,99.7,57
"Zavala, Seby",field_out,popup,99.7,65
"Tucker, Kyle",field_out,popup,99.7,76
"Alvarez, Yordan",field_out,popup,99.6,67
"Rivas, Alfonso",field_out,popup,99.6,68
"Grichuk, Randal",field_out,popup,99.5,66
"Westburg, Jordan",field_out,popup,99.5,70
"Burleson, Alec",field_out,popup,99.5,60
"Castro, Willi",field_out,popup,99.3,63
"Chapman, Matt",field_out,popup,99.3,67
"Larnach, Trevor",field_out,popup,99.3,72
"Raleigh, Cal",field_out,popup,99.2,72
"Donaldson, Josh",field_out,popup,99.2,65
"Rosario, Eddie",field_out,popup,99.2,68
"Soler, Jorge",field_out,popup,99.2,66
"Polanco, Jorge",field_out,popup,99.2,60
"Bellinger, Cody",single,popup,99.1,60
"Buxton, Byron",field_out,popup,99.1,67
"Wynns, Austin",field_out,popup,99.1,62
"Taylor, Chris",field_out,popup,99,73
"De La Cruz, Elly",field_out,popup,99,64
"Buxton, Byron",field_out,popup,99,74
"Olson, Matt",field_out,popup,99,62
"Outman, James",field_out,popup,99,65
"Duran, Jarren",field_out,popup,98.9,57
"Adames, Willy",field_out,popup,98.9,63
"Schwarber, Kyle",field_out,popup,98.9,72
"Raley, Luke",field_out,popup,98.7,67
"Aranda, Jonathan",field_out,popup,98.7,62
"Bauers, Jake",double,popup,98.6,68
"Merrifield, Whit",field_out,popup,98.6,63
"Contreras, William",field_out,popup,98.6,66
"Fermin, Freddy",field_out,popup,98.6,68
"McCormick, Chas",field_out,popup,98.5,66
"Donovan, Brendan",field_out,popup,98.5,68
"Freeman, Freddie",field_out,popup,98.5,73
"Escobar, Eduardo",field_out,popup,98.5,74
"Rooker, Brent",field_out,popup,98.4,63
"Gorman, Nolan",field_out,popup,98.4,65
"Perdomo, Geraldo",field_out,popup,98.4,63
"Contreras, Willson",field_out,popup,98.4,69
"Vaughn, Andrew",field_out,popup,98.3,60
"Urías, Ramón",field_out,popup,98.3,61
"Carpenter, Kerry",field_out,popup,98.2,72
"Chapman, Matt",field_out,popup,98.2,65
"Higashioka, Kyle",field_out,popup,98.2,66
"Ohtani, Shohei",field_out,popup,98.1,70
"Melendez, MJ",field_out,popup,98.1,66
"Busch, Michael",field_out,popup,98.1,62
"France, Ty",field_out,popup,98.1,60
"Joe, Connor",field_out,popup,98.1,62
"Benintendi, Andrew",field_out,popup,98.1,70
"Jeffers, Ryan",field_out,popup,98.1,61
"O'Hoppe, Logan",field_out,popup,97.9,67
"Aguilar, Jesús",field_out,popup,97.9,63
"Correa, Carlos",field_out,popup,97.9,65
"Mercado, Óscar",field_out,popup,97.9,60
"Alonso, Pete",field_out,popup,97.9,71
"Abreu, José",field_out,popup,97.9,61
"Polanco, Jorge",field_out,popup,97.9,64
"Villar, David",field_out,popup,97.8,79
"Contreras, William",field_out,popup,97.8,63
"Hernández, Teoscar",field_out,popup,97.7,62
"Outman, James",field_out,popup,97.7,70
"Suárez, Eugenio",field_out,popup,97.7,64
"Lindor, Francisco",field_out,popup,97.7,69
"Gallo, Joey",field_out,popup,97.7,78
"Suárez, Eugenio",field_out,popup,97.7,74
"McCutchen, Andrew",field_out,popup,97.7,60
"Bauers, Jake",field_out,popup,97.6,61
"Alvarez, Francisco",field_out,popup,97.6,67
"Arias, Gabriel",field_out,popup,97.6,65
"Siani, Michael",field_out,popup,97.6,58
"Marte, Starling",field_out,popup,97.6,60
"Raley, Luke",field_out,popup,97.6,61
"Calhoun, Kole",field_out,popup,97.5,64
"Suwinski, Jack",field_out,popup,97.5,62
"Wisdom, Patrick",field_out,popup,97.5,61
"Schwarber, Kyle",field_out,popup,97.5,63
"Ward, Taylor",field_out,popup,97.5,67
"Donaldson, Josh",field_out,popup,97.5,67
"Buxton, Byron",field_out,popup,97.5,75
"Polanco, Jorge",field_out,popup,97.4,65
"Stephenson, Tyler",field_out,popup,97.4,65
"Mountcastle, Ryan",field_out,popup,97.4,62
"Raley, Luke",field_out,popup,97.4,67
"Hosmer, Eric",field_out,popup,97.4,65
"Rooker, Brent",field_out,popup,97.4,69
"Rodríguez, Endy",field_out,popup,97.4,66
"Alvarez, Francisco",field_out,popup,97.4,63
"Brown, Seth",field_out,popup,97.4,66
"Alvarez, Yordan",field_out,popup,97.4,69
"Raleigh, Cal",field_out,popup,97.3,69
"Muncy, Max",field_error,popup,97.3,75
"Chisholm Jr., Jazz",field_out,popup,97.3,68
"Padlo, Kevin",field_out,popup,97.3,62
"Swanson, Dansby",field_out,popup,97.3,61
"Chapman, Matt",field_out,popup,97.2,65
"Mastrobuoni, Miles",field_out,popup,97.2,51
"Pederson, Joc",field_out,popup,97.2,66
"Lewis, Royce",field_out,popup,97.2,72
"Haniger, Mitch",field_out,popup,97.2,65
"Higashioka, Kyle",field_out,popup,97.2,67
